role,level,rate_low,rate_medium,rate_high,salary_low,salary_medium,salary_high
Test Role 0516,Junior,386,461,536,88060,108060,128060
Test Role 0517,Mid,387,462,537,88095,108095,128095
Test Role 0518,Senior,388,463,538,88130,108130,128130
Test Role 0519,Lead,389,464,539,88165,108165,128165
Test Role 0520,Architect,390,465,540,88200,108200,128200
Test Role 0521,Junior,391,466,541,88235,108235,128235
Test Role 0522,Mid,392,467,542,88270,108270,128270
Test Role 0523,Senior,393,468,543,88305,108305,128305
Test Role 0524,Lead,394,469,544,88340,108340,128340
Test Role 0525,Architect,395,470,545,88375,108375,128375
Test Role 0526,Junior,396,471,546,88410,108410,128410
Test Role 0527,Mid,397,472,547,88445,108445,128445
Test Role 0528,Senior,398,473,548,88480,108480,128480
Test Role 0529,Lead,399,474,549,88515,108515,128515
Test Role 0530,Architect,400,475,550,88550,108550,128550
Test Role 0531,Junior,401,476,551,88585,108585,128585
Test Role 0532,Mid,402,477,552,88620,108620,128620
Test Role 0533,Senior,403,478,553,88655,108655,128655
Test Role 0534,Lead,404,479,554,88690,108690,128690
Test Role 0535,Architect,405,480,555,88725,108725,128725
Test Role 0536,Junior,406,481,556,88760,108760,128760
Test Role 0537,Mid,407,482,557,88795,108795,128795
Test Role 0538,Senior,408,483,558,88830,108830,128830
Test Role 0539,Lead,409,484,559,88865,108865,128865
Test Role 0540,Architect,410,485,560,88900,108900,128900
Test Role 0541,Junior,411,486,561,88935,108935,128935
Test Role 0542,Mid,412,487,562,88970,108970,128970
Test Role 0543,Senior,413,488,563,89005,109005,129005
Test Role 0544,Lead,414,489,564,89040,109040,129040
Test Role 0545,Architect,415,490,565,89075,109075,129075
Test Role 0546,Junior,416,491,566,89110,109110,129110
Test Role 0547,Mid,417,492,567,89145,109145,129145
Test Role 0548,Senior,418,493,568,89180,109180,129180
Test Role 0549,Lead,419,494,569,89215,109215,129215
Test Role 0550,Architect,420,495,570,89250,109250,129250
Test Role 0551,Junior,421,496,571,89285,109285,129285
Test Role 0552,Mid,422,497,572,89320,109320,129320
Test Role 0553,Senior,423,498,573,89355,109355,129355
Test Role 0554,Lead,424,499,574,89390,109390,129390
Test Role 0555,Architect,425,500,575,89425,109425,129425
Test Role 0556,Junior,426,501,576,89460,109460,129460
Test Role 0557,Mid,427,502,577,89495,109495,129495
Test Role 0558,Senior,428,503,578,89530,109530,129530
Test Role 0559,Lead,429,504,579,89565,109565,129565
Test Role 0560,Architect,430,505,580,89600,109600,129600
Test Role 0561,Junior,431,506,581,89635,109635,129635
Test Role 0562,Mid,432,507,582,89670,109670,129670
Test Role 0563,Senior,433,508,583,89705,109705,129705
Test Role 0564,Lead,434,509,584,89740,109740,129740
Test Role 0565,Architect,435,510,585,89775,109775,129775
Test Role 0566,Junior,436,511,586,89810,109810,129810
Test Role 0567,Mid,437,512,587,89845,109845,129845
Test Role 0568,Senior,438,513,588,89880,109880,129880
Test Role 0569,Lead,439,514,589,89915,109915,129915
Test Role 0570,Architect,440,515,590,89950,109950,129950
Test Role 0571,Junior,441,516,591,89985,109985,129985
Test Role 0572,Mid,442,517,592,90020,110020,130020
Test Role 0573,Senior,443,518,593,90055,110055,130055
Test Role 0574,Lead,444,519,594,90090,110090,130090
Test Role 0575,Architect,445,520,595,90125,110125,130125
Test Role 0576,Junior,446,521,596,90160,110160,130160
Test Role 0577,Mid,447,522,597,90195,110195,130195
Test Role 0578,Senior,448,523,598,90230,110230,130230
Test Role 0579,Lead,449,524,599,90265,110265,130265
Test Role 0580,Architect,450,525,600,90300,110300,130300
Test Role 0581,Junior,451,526,601,90335,110335,130335
Test Role 0582,Mid,452,527,602,90370,110370,130370
Test Role 0583,Senior,453,528,603,90405,110405,130405
Test Role 0584,Lead,454,529,604,90440,110440,130440
Test Role 0585,Architect,455,530,605,90475,110475,130475
Test Role 0586,Junior,456,531,606,90510,110510,130510
Test Role 0587,Mid,457,532,607,90545,110545,130545
Test Role 0588,Senior,458,533,608,90580,110580,130580
Test Role 0589,Lead,459,534,609,90615,110615,130615
Test Role 0590,Architect,460,535,610,90650,110650,130650
Test Role 0591,Junior,461,536,611,90685,110685,130685
Test Role 0592,Mid,462,537,612,90720,110720,130720
Test Role 0593,Senior,463,538,613,90755,110755,130755
Test Role 0594,Lead,464,539,614,90790,110790,130790
Test Role 0595,Architect,465,540,615,90825,110825,130825
Test Role 0596,Junior,466,541,616,90860,110860,130860
Test Role 0597,Mid,467,542,617,90895,110895,130895
Test Role 0598,Senior,468,543,618,90930,110930,130930
Test Role 0599,Lead,469,544,619,90965,110965,130965
Test Role 0600,Architect,350,425,500,91000,111000,131000
Test Role 0601,Junior,351,426,501,91035,111035,131035
Test Role 0602,Mid,352,427,502,91070,111070,131070
Test Role 0603,Senior,353,428,503,91105,111105,131105
Test Role 0604,Lead,354,429,504,91140,111140,131140
Test Role 0605,Architect,355,430,505,91175,111175,131175
Test Role 0606,Junior,356,431,506,91210,111210,131210
Test Role 0607,Mid,357,432,507,91245,111245,131245
Test Role 0608,Senior,358,433,508,91280,111280,131280
Test Role 0609,Lead,359,434,509,91315,111315,131315
Test Role 0610,Architect,360,435,510,91350,111350,131350
Test Role 0611,Junior,361,436,511,91385,111385,131385
Test Role 0612,Mid,362,437,512,91420,111420,131420
Test Role 0613,Senior,363,438,513,91455,111455,131455
Test Role 0614,Lead,364,439,514,91490,111490,131490
Test Role 0615,Architect,365,440,515,91525,111525,131525
Test Role 0616,Junior,366,441,516,91560,111560,131560
Test Role 0617,Mid,367,442,517,91595,111595,131595
Test Role 0618,Senior,368,443,518,91630,111630,131630
Test Role 0619,Lead,369,444,519,91665,111665,131665
Test Role 0620,Architect,370,445,520,91700,111700,131700
Test Role 0621,Junior,371,446,521,91735,111735,131735
Test Role 0622,Mid,372,447,522,91770,111770,131770
Test Role 0623,Senior,373,448,523,91805,111805,131805
Test Role 0624,Lead,374,449,524,91840,111840,131840
Test Role 0625,Architect,375,450,525,91875,111875,131875
Test Role 0626,Junior,376,451,526,91910,111910,131910
Test Role 0627,Mid,377,452,527,91945,111945,131945
Test Role 0628,Senior,378,453,528,91980,111980,131980
Test Role 0629,Lead,379,454,529,92015,112015,132015
Test Role 0630,Architect,380,455,530,92050,112050,132050
Test Role 0631,Junior,381,456,531,92085,112085,132085
Test Role 0632,Mid,382,457,532,92120,112120,132120
Test Role 0633,Senior,383,458,533,92155,112155,132155
Test Role 0634,Lead,384,459,534,92190,112190,132190
Test Role 0635,Architect,385,460,535,92225,112225,132225
Test Role 0636,Junior,386,461,536,92260,112260,132260
Test Role 0637,Mid,387,462,537,92295,112295,132295
Test Role 0638,Senior,388,463,538,92330,112330,132330
Test Role 0639,Lead,389,464,539,92365,112365,132365
Test Role 0640,Architect,390,465,540,92400,112400,132400
Test Role 0641,Junior,391,466,541,92435,112435,132435
Test Role 0642,Mid,392,467,542,92470,112470,132470
Test Role 0643,Senior,393,468,543,92505,112505,132505
Test Role 0644,Lead,394,469,544,92540,112540,132540
Test Role 0645,Architect,395,470,545,92575,112575,132575
Test Role 0646,Junior,396,471,546,92610,112610,132610
Test Role 0647,Mid,397,472,547,92645,112645,132645
Test Role 0648,Senior,398,473,548,92680,112680,132680
Test Role 0649,Lead,399,474,549,92715,112715,132715
Test Role 0650,Architect,400,475,550,92750,112750,132750
Test Role 0651,Junior,401,476,551,92785,112785,132785
Test Role 0652,Mid,402,477,552,92820,112820,132820
Test Role 0653,Senior,403,478,553,92855,112855,132855
Test Role 0654,Lead,404,479,554,92890,112890,132890
Test Role 0655,Architect,405,480,555,92925,112925,132925
Test Role 0656,Junior,406,481,556,92960,112960,132960
Test Role 0657,Mid,407,482,557,92995,112995,132995
Test Role 0658,Senior,408,483,558,93030,113030,133030
Test Role 0659,Lead,409,484,559,93065,113065,133065
Test Role 0660,Architect,410,485,560,93100,113100,133100
Test Role 0661,Junior,411,486,561,93135,113135,133135
Test Role 0662,Mid,412,487,562,93170,113170,133170
Test Role 0663,Senior,413,488,563,93205,113205,133205
Test Role 0664,Lead,414,489,564,93240,113240,133240
Test Role 0665,Architect,415,490,565,93275,113275,133275
Test Role 0666,Junior,416,491,566,93310,113310,133310
Test Role 0667,Mid,417,492,567,93345,113345,133345
Test Role 0668,Senior,418,493,568,93380,113380,133380
Test Role 0669,Lead,419,494,569,93415,113415,133415
Test Role 0670,Architect,420,495,570,93450,113450,133450
Test Role 0671,Junior,421,496,571,93485,113485,133485
Test Role 0672,Mid,422,497,572,93520,113520,133520
Test Role 0673,Senior,423,498,573,93555,113555,133555
Test Role 0674,Lead,424,499,574,93590,113590,133590
Test Role 0675,Architect,425,500,575,93625,113625,133625
Test Role 0676,Junior,426,501,576,93660,113660,133660
Test Role 0677,Mid,427,502,577,93695,113695,133695
Test Role 0678,Senior,428,503,578,93730,113730,133730
Test Role 0679,Lead,429,504,579,93765,113765,133765
Test Role 0680,Architect,430,505,580,93800,113800,133800
Test Role 0681,Junior,431,506,581,93835,113835,133835
Test Role 0682,Mid,432,507,582,93870,113870,133870
Test Role 0683,Senior,433,508,583,93905,113905,133905
Test Role 0684,Lead,434,509,584,93940,113940,133940
Test Role 0685,Architect,435,510,585,93975,113975,133975
Test Role 0686,Junior,436,511,586,94010,114010,134010
Test Role 0687,Mid,437,512,587,94045,114045,134045
Test Role 0688,Senior,438,513,588,94080,114080,134080
Test Role 0689,Lead,439,514,589,94115,114115,134115
Test Role 0690,Architect,440,515,590,94150,114150,134150
Test Role 0691,Junior,441,516,591,94185,114185,134185
Test Role 0692,Mid,442,517,592,94220,114220,134220
Test Role 0693,Senior,443,518,593,94255,114255,134255
Test Role 0694,Lead,444,519,594,94290,114290,134290
Test Role 0695,Architect,445,520,595,94325,114325,134325
Test Role 0696,Junior,446,521,596,94360,114360,134360
Test Role 0697,Mid,447,522,597,94395,114395,134395
Test Role 0698,Senior,448,523,598,94430,114430,134430
Test Role 0699,Lead,449,524,599,94465,114465,134465
Test Role 0700,Architect,450,525,600,94500,114500,134500
Test Role 0701,Junior,451,526,601,94535,114535,134535
Test Role 0702,Mid,452,527,602,94570,114570,134570
Test Role 0703,Senior,453,528,603,94605,114605,134605
Test Role 0704,Lead,454,529,604,94640,114640,134640
Test Role 0705,Architect,455,530,605,94675,114675,134675
Test Role 0706,Junior,456,531,606,94710,114710,134710
Test Role 0707,Mid,457,532,607,94745,114745,134745
Test Role 0708,Senior,458,533,608,94780,114780,134780
Test Role 0709,Lead,459,534,609,94815,114815,134815
Test Role 0710,Architect,460,535,610,94850,114850,134850
Test Role 0711,Junior,461,536,611,94885,114885,134885
Test Role 0712,Mid,462,537,612,94920,114920,134920
Test Role 0713,Senior,463,538,613,94955,114955,134955
Test Role 0714,Lead,464,539,614,94990,114990,134990
Test Role 0715,Architect,465,540,615,95025,115025,135025
Test Role 0716,Junior,466,541,616,95060,115060,135060
Test Role 0717,Mid,467,542,617,95095,115095,135095
Test Role 0718,Senior,468,543,618,95130,115130,135130
Test Role 0719,Lead,469,544,619,95165,115165,135165
Test Role 0720,Architect,350,425,500,95200,115200,135200
Test Role 0721,Junior,351,426,501,95235,115235,135235
Test Role 0722,Mid,352,427,502,95270,115270,135270
Test Role 0723,Senior,353,428,503,95305,115305,135305
Test Role 0724,Lead,354,429,504,95340,115340,135340
Test Role 0725,Architect,355,430,505,95375,115375,135375
Test Role 0726,Junior,356,431,506,95410,115410,135410
Test Role 0727,Mid,357,432,507,95445,115445,135445
Test Role 0728,Senior,358,433,508,95480,115480,135480
Test Role 0729,Lead,359,434,509,95515,115515,135515
Test Role 0730,Architect,360,435,510,95550,115550,135550
Test Role 0731,Junior,361,436,511,95585,115585,135585
Test Role 0732,Mid,362,437,512,95620,115620,135620
Test Role 0733,Senior,363,438,513,95655,115655,135655
Test Role 0734,Lead,364,439,514,95690,115690,135690
Test Role 0735,Architect,365,440,515,95725,115725,135725
Test Role 0736,Junior,366,441,516,95760,115760,135760
Test Role 0737,Mid,367,442,517,95795,115795,135795
Test Role 0738,Senior,368,443,518,95830,115830,135830
Test Role 0739,Lead,369,444,519,95865,115865,135865
Test Role 0740,Architect,370,445,520,95900,115900,135900
Test Role 0741,Junior,371,446,521,95935,115935,135935
Test Role 0742,Mid,372,447,522,95970,115970,135970
Test Role 0743,Senior,373,448,523,96005,116005,136005
Test Role 0744,Lead,374,449,524,96040,116040,136040
Test Role 0745,Architect,375,450,525,96075,116075,136075
Test Role 0746,Junior,376,451,526,96110,116110,136110
Test Role 0747,Mid,377,452,527,96145,116145,136145
Test Role 0748,Senior,378,453,528,96180,116180,136180
Test Role 0749,Lead,379,454,529,96215,116215,136215
Test Role 0750,Architect,380,455,530,96250,116250,136250
Test Role 0751,Junior,381,456,531,96285,116285,136285
Test Role 0752,Mid,382,457,532,96320,116320,136320
Test Role 0753,Senior,383,458,533,96355,116355,136355
Test Role 0754,Lead,384,459,534,96390,116390,136390
Test Role 0755,Architect,385,460,535,96425,116425,136425
Test Role 0756,Junior,386,461,536,96460,116460,136460
Test Role 0757,Mid,387,462,537,96495,116495,136495
Test Role 0758,Senior,388,463,538,96530,116530,136530
Test Role 0759,Lead,389,464,539,96565,116565,136565
Test Role 0760,Architect,390,465,540,96600,116600,136600
Test Role 0761,Junior,391,466,541,96635,116635,136635
Test Role 0762,Mid,392,467,542,96670,116670,136670
Test Role 0763,Senior,393,468,543,96705,116705,136705
Test Role 0764,Lead,394,469,544,96740,116740,136740
Test Role 0765,Architect,395,470,545,96775,116775,136775
Test Role 0766,Junior,396,471,546,96810,116810,136810
Test Role 0767,Mid,397,472,547,96845,116845,136845
Test Role 0768,Senior,398,473,548,96880,116880,136880
Test Role 0769,Lead,399,474,549,96915,116915,136915
Test Role 0770,Architect,400,475,550,96950,116950,136950
Test Role 0771,Junior,401,476,551,96985,116985,136985
Test Role 0772,Mid,402,477,552,97020,117020,137020
Test Role 0773,Senior,403,478,553,97055,117055,137055
Test Role 0774,Lead,404,479,554,97090,117090,137090
Test Role 0775,Architect,405,480,555,97125,117125,137125
Test Role 0776,Junior,406,481,556,97160,117160,137160
Test Role 0777,Mid,407,482,557,97195,117195,137195
Test Role 0778,Senior,408,483,558,97230,117230,137230
Test Role 0779,Lead,409,484,559,97265,117265,137265
Test Role 0780,Architect,410,485,560,97300,117300,137300
Test Role 0781,Junior,411,486,561,97335,117335,137335
Test Role 0782,Mid,412,487,562,97370,117370,137370
Test Role 0783,Senior,413,488,563,97405,117405,137405
Test Role 0784,Lead,414,489,564,97440,117440,137440
Test Role 0785,Architect,415,490,565,97475,117475,137475
Test Role 0786,Junior,416,491,566,97510,117510,137510
Test Role 0787,Mid,417,492,567,97545,117545,137545
Test Role 0788,Senior,418,493,568,97580,117580,137580
Test Role 0789,Lead,419,494,569,97615,117615,137615
Test Role 0790,Architect,420,495,570,97650,117650,137650
Test Role 0791,Junior,421,496,571,97685,117685,137685
Test Role 0792,Mid,422,497,572,97720,117720,137720
Test Role 0793,Senior,423,498,573,97755,117755,137755
Test Role 0794,Lead,424,499,574,97790,117790,137790
Test Role 0795,Architect,425,500,575,97825,117825,137825
Test Role 0796,Junior,426,501,576,97860,117860,137860
Test Role 0797,Mid,427,502,577,97895,117895,137895
Test Role 0798,Senior,428,503,578,97930,117930,137930
Test Role 0799,Lead,429,504,579,97965,117965,137965
Test Role 0800,Architect,430,505,580,98000,118000,138000
Test Role 0801,Junior,431,506,581,98035,118035,138035
Test Role 0802,Mid,432,507,582,98070,118070,138070
Test Role 0803,Senior,433,508,583,98105,118105,138105
Test Role 0804,Lead,434,509,584,98140,118140,138140
Test Role 0805,Architect,435,510,585,98175,118175,138175
Test Role 0806,Junior,436,511,586,98210,118210,138210
Test Role 0807,Mid,437,512,587,98245,118245,138245
Test Role 0808,Senior,438,513,588,98280,118280,138280
Test Role 0809,Lead,439,514,589,98315,118315,138315
Test Role 0810,Architect,440,515,590,98350,118350,138350
Test Role 0811,Junior,441,516,591,98385,118385,138385
Test Role 0812,Mid,442,517,592,98420,118420,138420
Test Role 0813,Senior,443,518,593,98455,118455,138455
Test Role 0814,Lead,444,519,594,98490,118490,138490
Test Role 0815,Architect,445,520,595,98525,118525,138525
Test Role 0816,Junior,446,521,596,98560,118560,138560
Test Role 0817,Mid,447,522,597,98595,118595,138595
Test Role 0818,Senior,448,523,598,98630,118630,138630
Test Role 0819,Lead,449,524,599,98665,118665,138665
Test Role 0820,Architect,450,525,600,98700,118700,138700
Test Role 0821,Junior,451,526,601,98735,118735,138735
Test Role 0822,Mid,452,527,602,98770,118770,138770
Test Role 0823,Senior,453,528,603,98805,118805,138805
Test Role 0824,Lead,454,529,604,98840,118840,138840
Test Role 0825,Architect,455,530,605,98875,118875,138875
Test Role 0826,Junior,456,531,606,98910,118910,138910
Test Role 0827,Mid,457,532,607,98945,118945,138945
Test Role 0828,Senior,458,533,608,98980,118980,138980
Test Role 0829,Lead,459,534,609,99015,119015,139015
Test Role 0830,Architect,460,535,610,99050,119050,139050
Test Role 0831,Junior,461,536,611,99085,119085,139085
Test Role 0832,Mid,462,537,612,99120,119120,139120
Test Role 0833,Senior,463,538,613,99155,119155,139155
Test Role 0834,Lead,464,539,614,99190,119190,139190
Test Role 0835,Architect,465,540,615,99225,119225,139225
Test Role 0836,Junior,466,541,616,99260,119260,139260
Test Role 0837,Mid,467,542,617,99295,119295,139295
Test Role 0838,Senior,468,543,618,99330,119330,139330
Test Role 0839,Lead,469,544,619,99365,119365,139365
Test Role 0840,Architect,350,425,500,99400,119400,139400
Test Role 0841,Junior,351,426,501,99435,119435,139435
Test Role 0842,Mid,352,427,502,99470,119470,139470
Test Role 0843,Senior,353,428,503,99505,119505,139505
Test Role 0844,Lead,354,429,504,99540,119540,139540
Test Role 0845,Architect,355,430,505,99575,119575,139575
Test Role 0846,Junior,356,431,506,99610,119610,139610
Test Role 0847,Mid,357,432,507,99645,119645,139645
Test Role 0848,Senior,358,433,508,99680,119680,139680
Test Role 0849,Lead,359,434,509,99715,119715,139715
Test Role 0850,Architect,360,435,510,99750,119750,139750
Test Role 0851,Junior,361,436,511,99785,119785,139785
Test Role 0852,Mid,362,437,512,99820,119820,139820
Test Role 0853,Senior,363,438,513,99855,119855,139855
Test Role 0854,Lead,364,439,514,99890,119890,139890
Test Role 0855,Architect,365,440,515,99925,119925,139925
Test Role 0856,Junior,366,441,516,99960,119960,139960
Test Role 0857,Mid,367,442,517,99995,119995,139995
Test Role 0858,Senior,368,443,518,100030,120030,140030
Test Role 0859,Lead,369,444,519,100065,120065,140065
Test Role 0860,Architect,370,445,520,100100,120100,140100
Test Role 0861,Junior,371,446,521,100135,120135,140135
Test Role 0862,Mid,372,447,522,100170,120170,140170
Test Role 0863,Senior,373,448,523,100205,120205,140205
Test Role 0864,Lead,374,449,524,100240,120240,140240
Test Role 0865,Architect,375,450,525,100275,120275,140275
Test Role 0866,Junior,376,451,526,100310,120310,140310
Test Role 0867,Mid,377,452,527,100345,120345,140345
Test Role 0868,Senior,378,453,528,100380,120380,140380
Test Role 0869,Lead,379,454,529,100415,120415,140415
Test Role 0870,Architect,380,455,530,100450,120450,140450
Test Role 0871,Junior,381,456,531,100485,120485,140485
Test Role 0872,Mid,382,457,532,100520,120520,140520
Test Role 0873,Senior,383,458,533,100555,120555,140555
Test Role 0874,Lead,384,459,534,100590,120590,140590
Test Role 0875,Architect,385,460,535,100625,120625,140625
Test Role 0876,Junior,386,461,536,100660,120660,140660
Test Role 0877,Mid,387,462,537,100695,120695,140695
Test Role 0878,Senior,388,463,538,100730,120730,140730
Test Role 0879,Lead,389,464,539,100765,120765,140765
Test Role 0880,Architect,390,465,540,100800,120800,140800
Test Role 0881,Junior,391,466,541,100835,120835,140835
Test Role 0882,Mid,392,467,542,100870,120870,140870
Test Role 0883,Senior,393,468,543,100905,120905,140905
Test Role 0884,Lead,394,469,544,100940,120940,140940
Test Role 0885,Architect,395,470,545,100975,120975,140975
Test Role 0886,Junior,396,471,546,101010,121010,141010
Test Role 0887,Mid,397,472,547,101045,121045,141045
Test Role 0888,Senior,398,473,548,101080,121080,141080
Test Role 0889,Lead,399,474,549,101115,121115,141115
Test Role 0890,Architect,400,475,550,101150,121150,141150
Test Role 0891,Junior,401,476,551,101185,121185,141185
Test Role 0892,Mid,402,477,552,101220,121220,141220
Test Role 0893,Senior,403,478,553,101255,121255,141255
Test Role 0894,Lead,404,479,554,101290,121290,141290
Test Role 0895,Architect,405,480,555,101325,121325,141325
Test Role 0896,Junior,406,481,556,101360,121360,141360
Test Role 0897,Mid,407,482,557,101395,121395,141395
Test Role 0898,Senior,408,483,558,101430,121430,141430
Test Role 0899,Lead,409,484,559,101465,121465,141465
Test Role 0900,Architect,410,485,560,101500,121500,141500
Test Role 0901,Junior,411,486,561,101535,121535,141535
Test Role 0902,Mid,412,487,562,101570,121570,141570
Test Role 0903,Senior,413,488,563,101605,121605,141605
Test Role 0904,Lead,414,489,564,101640,121640,141640
Test Role 0905,Architect,415,490,565,101675,121675,141675
Test Role 0906,Junior,416,491,566,101710,121710,141710
Test Role 0907,Mid,417,492,567,101745,121745,141745
Test Role 0908,Senior,418,493,568,101780,121780,141780
Test Role 0909,Lead,419,494,569,101815,121815,141815
Test Role 0910,Architect,420,495,570,101850,121850,141850
Test Role 0911,Junior,421,496,571,101885,121885,141885
Test Role 0912,Mid,422,497,572,101920,121920,141920
Test Role 0913,Senior,423,498,573,101955,121955,141955
Test Role 0914,Lead,424,499,574,101990,121990,141990
Test Role 0915,Architect,425,500,575,102025,122025,142025
Test Role 0916,Junior,426,501,576,102060,122060,142060
Test Role 0917,Mid,427,502,577,102095,122095,142095
Test Role 0918,Senior,428,503,578,102130,122130,142130
Test Role 0919,Lead,429,504,579,102165,122165,142165
Test Role 0920,Architect,430,505,580,102200,122200,142200
Test Role 0921,Junior,431,506,581,102235,122235,142235
Test Role 0922,Mid,432,507,582,102270,122270,142270
Test Role 0923,Senior,433,508,583,102305,122305,142305
Test Role 0924,Lead,434,509,584,102340,122340,142340
Test Role 0925,Architect,435,510,585,102375,122375,142375
Test Role 0926,Junior,436,511,586,102410,122410,142410
Test Role 0927,Mid,437,512,587,102445,122445,142445
Test Role 0928,Senior,438,513,588,102480,122480,142480
Test Role 0929,Lead,439,514,589,102515,122515,142515
Test Role 0930,Architect,440,515,590,102550,122550,142550
Test Role 0931,Junior,441,516,591,102585,122585,142585
Test Role 0932,Mid,442,517,592,102620,122620,142620
Test Role 0933,Senior,443,518,593,102655,122655,142655
Test Role 0934,Lead,444,519,594,102690,122690,142690
Test Role 0935,Architect,445,520,595,102725,122725,142725
Test Role 0936,Junior,446,521,596,102760,122760,142760
Test Role 0937,Mid,447,522,597,102795,122795,142795
Test Role 0938,Senior,448,523,598,102830,122830,142830
Test Role 0939,Lead,449,524,599,102865,122865,142865
Test Role 0940,Architect,450,525,600,102900,122900,142900
Test Role 0941,Junior,451,526,601,102935,122935,142935
Test Role 0942,Mid,452,527,602,102970,122970,142970
Test Role 0943,Senior,453,528,603,103005,123005,143005
Test Role 0944,Lead,454,529,604,103040,123040,143040
Test Role 0945,Architect,455,530,605,103075,123075,143075
Test Role 0946,Junior,456,531,606,103110,123110,143110
Test Role 0947,Mid,457,532,607,103145,123145,143145
Test Role 0948,Senior,458,533,608,103180,123180,143180
Test Role 0949,Lead,459,534,609,103215,123215,143215
Test Role 0950,Architect,460,535,610,103250,123250,143250
Test Role 0951,Junior,461,536,611,103285,123285,143285
Test Role 0952,Mid,462,537,612,103320,123320,143320
Test Role 0953,Senior,463,538,613,103355,123355,143355
Test Role 0954,Lead,464,539,614,103390,123390,143390
Test Role 0955,Architect,465,540,615,103425,123425,143425
Test Role 0956,Junior,466,541,616,103460,123460,143460
Test Role 0957,Mid,467,542,617,103495,123495,143495
Test Role 0958,Senior,468,543,618,103530,123530,143530
Test Role 0959,Lead,469,544,619,103565,123565,143565
Test Role 0960,Architect,350,425,500,103600,123600,143600
Test Role 0961,Junior,351,426,501,103635,123635,143635
Test Role 0962,Mid,352,427,502,103670,123670,143670
Test Role 0963,Senior,353,428,503,103705,123705,143705
Test Role 0964,Lead,354,429,504,103740,123740,143740
Test Role 0965,Architect,355,430,505,103775,123775,143775
Test Role 0966,Junior,356,431,506,103810,123810,143810
Test Role 0967,Mid,357,432,507,103845,123845,143845
Test Role 0968,Senior,358,433,508,103880,123880,143880
Test Role 0969,Lead,359,434,509,103915,123915,143915
Test Role 0970,Architect,360,435,510,103950,123950,143950
Test Role 0971,Junior,361,436,511,103985,123985,143985
Test Role 0972,Mid,362,437,512,104020,124020,144020
Test Role 0973,Senior,363,438,513,104055,124055,144055
Test Role 0974,Lead,364,439,514,104090,124090,144090
Test Role 0975,Architect,365,440,515,104125,124125,144125
Test Role 0976,Junior,366,441,516,104160,124160,144160
Test Role 0977,Mid,367,442,517,104195,124195,144195
Test Role 0978,Senior,368,443,518,104230,124230,144230
Test Role 0979,Lead,369,444,519,104265,124265,144265
Test Role 0980,Architect,370,445,520,104300,124300,144300
Test Role 0981,Junior,371,446,521,104335,124335,144335
Test Role 0982,Mid,372,447,522,104370,124370,144370
Test Role 0983,Senior,373,448,523,104405,124405,144405
Test Role 0984,Lead,374,449,524,104440,124440,144440
Test Role 0985,Architect,375,450,525,104475,124475,144475
Test Role 0986,Junior,376,451,526,104510,124510,144510
Test Role 0987,Mid,377,452,527,104545,124545,144545
Test Role 0988,Senior,378,453,528,104580,124580,144580
Test Role 0989,Lead,379,454,529,104615,124615,144615
Test Role 0990,Architect,380,455,530,104650,124650,144650
Test Role 0991,Junior,381,456,531,104685,124685,144685
Test Role 0992,Mid,382,457,532,104720,124720,144720
Test Role 0993,Senior,383,458,533,104755,124755,144755
Test Role 0994,Lead,384,459,534,104790,124790,144790
Test Role 0995,Architect,385,460,535,104825,124825,144825
Test Role 0996,Junior,386,461,536,104860,124860,144860
Test Role 0997,Mid,387,462,537,104895,124895,144895
Test Role 0998,Senior,388,463,538,104930,124930,144930
Test Role 0999,Lead,389,464,539,104965,124965,144965
Test Role 1000,Architect,390,465,540,105000,125000,145000
